Output,Model,Mean_R2,Std_R2,Min_R2,Max_R2,CV_R2_%,Mean_RMSE,Std_RMSE,Min_RMSE,Max_RMSE,CV_RMSE_%,Mean_MAE,Std_MAE,Min_MAE,Max_MAE,CV_MAE_%,Mean_MSE,Std_MSE,Min_MSE,Max_MSE
tmp,KNN,0.9638037711609877,0.006826422788985882,0.9438222050386407,0.9736027843592772,0.7082793192189782,0.017046081879983063,0.0016841791583713749,0.01467824216406371,0.021513752329209747,9.880154103618844,0.007746348677539915,0.0006006996802574801,0.006990986361828737,0.00947236986037736,7.754617113985248,0.0002932635439247048,6.018484196914153e-05,0.00021545079302689768,0.00046284153928257787
tmp,SVR,0.8789896222373466,0.009273601317872976,0.8534100461300123,0.8916275010960747,1.0550296708018356,0.03125141740063872,0.0012625936867826854,0.029834007012367363,0.03475248978689586,4.040116550863643,0.01614988392203396,0.0005961953302843569,0.015026428203517706,0.017370053085660454,3.691638485840402,0.000978165525225953,8.05678115078769e-05,0.0008900679744139851,0.0012077355463883009
tmp,Bagging,0.9746808544475251,0.004195608333424009,0.9676916496525768,0.9822747876930092,0.4304597052747272,0.014261675132952487,0.001249218132086719,0.011829246266732025,0.01623734297406851,8.75926649878823,0.006410476738742019,0.00035737570031223447,0.005699022662380262,0.006944091602844705,5.574869309678912,0.0002048778962423329,3.5515955091116534e-05,0.00013993106723899357,0.0002636513068575321
tmp,MLP Neural Network,0.9461973206056029,0.0068814405727446615,0.9332859506610198,0.9583182653111275,0.7272733100047539,0.02081406552824803,0.0014161926248642005,0.018139873027098918,0.02313678507141238,6.804017326370956,0.010947111993311307,0.000777309851114341,0.009592106389469973,0.012336662211586065,7.100592846672966,0.0004351306452873865,5.862036908901233e-05,0.0003290549934392708,0.0005353108234407307
tmp,XGBoost,0.9708652874555661,0.004450324507064226,0.9619209543350731,0.9777564796122453,0.4583874369149186,0.015301360713419254,0.0011610943235625742,0.01340801906954723,0.01764586668694535,7.588176929547824,0.0075368844001432855,0.00027059352200811416,0.00690304801464616,0.007964988000040323,3.590257029854005,0.00023541237270896902,3.564740434957506e-05,0.00017977497536934213,0.00031137661113344765
tmp,LightGBM,0.9712269020580646,0.0038594220075810043,0.9623691060627598,0.9771792825679108,0.3973759375283727,0.015225236761830274,0.0011469343084318574,0.013422270815227136,0.0175417223892719,7.533113122465367,0.008101482940002756,0.0003425728798268883,0.007458955806096081,0.008688609938967907,4.228520659290208,0.00023305751984625326,3.5569666997461756e-05,0.00018015735383729813,0.00030771202438228306
flow,Linear Regression,0.4760495661821301,0.01710369938060113,0.4396944207050104,0.5101346626622929,3.5928400308755846,0.1856152636453255,0.003264143094260842,0.17853824207985805,0.19111051776189325,1.758553165378674,0.14619842739748098,0.0022040075594043297,0.14024400223896877,0.14965911549224142,1.5075453263338625,0.03446314799675653,0.0012108064343409842,0.03187590388496599,0.03652322999921892
flow,Ridge Regression,0.4760548831453253,0.017100541164749045,0.43971072112742915,0.5101157086083348,3.5921364889200733,0.18561435487934572,0.003265089350574507,0.17854169608086887,0.19111488443887129,1.759071572183575,0.1461910118901017,0.00220443313811935,0.14023968990229993,0.14965158132889114,1.5079129076529827,0.03446281650531956,0.0012111709941865821,0.03187713723943334,0.036524899054083126
flow,Lasso Regression,0.39785003546602965,0.012630044139756724,0.36913437889864764,0.4158372924117456,3.174574089194756,0.19901546677553528,0.0035390969784386108,0.19382363347111642,0.20760273419522773,1.778302478585884,0.15652838992034385,0.002416043803745604,0.15225899103553647,0.16188165511573666,1.5435179554169765,0.03961905496293585,0.0014152633162126146,0.037567600891945684,0.04309889524533438
flow,ElasticNet,0.4399814998801926,0.015685488847740788,0.40524274169635877,0.46335058006768504,3.565033723466092,0.1919158462178901,0.003675738331747284,0.18653458276798018,0.1999629666101001,1.9152865196832494,0.14950926472688744,0.002406299972835192,0.14547750989469146,0.15453629627966856,1.609465458365302,0.036844527529198146,0.0014171434775623656,0.03479515056842445,0.039985188015512006
flow,Decision Tree,0.7824493656063223,0.02524233507199174,0.7325329074671649,0.8368806537000347,3.226066271065525,0.11941508535865004,0.00682772046576412,0.10400803472796885,0.13173432752180847,5.71763646549162,0.08686004507171054,0.003801834361224139,0.07576888027965593,0.09148977169244948,4.376965678621734,0.01430424948963436,0.0016242529054916316,0.010817671287974374,0.017353933047623102
flow,Random Forest,0.8978334730567374,0.007025704986789416,0.8774471511688403,0.906467863569502,0.7825176046143509,0.08193073026498564,0.0028266262538078446,0.07692526275340683,0.08884542396705677,3.4500196015167788,0.06252736276484834,0.0014640493393893064,0.06039673283355588,0.06557253200375181,2.3414538446076385,0.006720234886933614,0.0004677154054248787,0.005917496049680681,0.007893509359886065
flow,Extra Trees,0.923964067567914,0.005263256408044739,0.9128818037736166,0.9341967975782057,0.5696386464355524,0.07068531729831239,0.0026779088921875488,0.06699951139943228,0.07591236830672018,3.788493840787334,0.0549847737554619,0.0011490664591399722,0.05306059373745284,0.05771898103137156,2.089790283125117,0.005003226717796216,0.0003834040980633816,0.004488934527762655,0.005762687661935136
flow,Gradient Boosting,0.8127265209124003,0.009365889531391624,0.7935611823757159,0.8292603415152418,1.1524035810812585,0.11094396834229062,0.0025286934429027542,0.10689147424697507,0.11623636277460248,2.279252744142959,0.08688249616098268,0.0017113929128707915,0.08392231331875878,0.09078482254303882,1.9697787108922251,0.012314638687536945,0.000564699969989505,0.011425787266691734,0.013510892031068993
flow,AdaBoost,0.6859363491562857,0.017016608730109455,0.6515560287850295,0.713396734094605,2.4807853893499296,0.14367123899614861,0.003833616696340367,0.13815642117802696,0.15246448940273255,2.6683257714810513,0.11554887200942421,0.003086127788242646,0.11100300558965044,0.12396938128258736,2.6708419862298096,0.020655386700814196,0.001110088651184629,0.019087196712720373,0.02324542052883595
flow,Hist Gradient Boosting,0.8869169975547802,0.00756147616124402,0.8725272757761052,0.9012143437896089,0.8525573624240963,0.08620050533707782,0.0030317860604778327,0.08127224547631844,0.09171788119869762,3.517132583645953,0.06662543131687744,0.0018247273014095312,0.06393752834798523,0.07035280478023437,2.738784973459968,0.007439259260748262,0.0005236579556384933,0.006605177884762962,0.00841216973157841
flow,KNN,0.8870646228331885,0.005373813340683094,0.8794730200919603,0.8979156011045112,0.605797278164438,0.08616829288266749,0.0023874564017096417,0.08252431235992899,0.0913499238072712,2.7706901481274118,0.06518649829629172,0.0012722036792329596,0.06315710800101597,0.06739042552075472,1.9516367844310663,0.007430389648979727,0.0004138318944540858,0.006810262130479129,0.008344808579594253
flow,SVR,0.7657752202487653,0.011435418931350243,0.7457474223859806,0.784868059835882,1.4933127409940736,0.1240915906557927,0.003456445851374349,0.12015637522964215,0.1330108412515484,2.7853989404986317,0.0934208129148255,0.002117548729863402,0.09093716374274134,0.09810359869385947,2.2666776961082893,0.015410072538512126,0.0008693496478766469,0.01443755450832656,0.017691883890444616
flow,Bagging,0.8979322147463698,0.007076505237286409,0.8774207390972055,0.9071103270732946,0.7880890251036644,0.08188938195000409,0.0028192349618663104,0.07714683034495222,0.08885499724628432,3.4427356694272495,0.06252924624183563,0.0014207074714487399,0.060308121589463005,0.06558160620198113,2.2720687627579386,0.006713421557635359,0.0004666509070708812,0.0059516334322728395,0.007895210535637194
flow,MLP Neural Network,0.8491681388541158,0.009151373817642453,0.8352874064847708,0.8664763530910409,1.0776869030898282,0.099555952242224,0.0030295929342048456,0.09328777673505662,0.10350874394982111,3.043105777175144,0.07683286399153078,0.0023888178964734737,0.07190629105349627,0.07995040748262557,3.109109529923017,0.009920107138535621,0.000597867041379915,0.008702609288169771,0.010714060074069628
flow,XGBoost,0.8897188582478497,0.006384831940765571,0.8783925858206431,0.9042796386863295,0.7176235370956859,0.08513895646100669,0.002743665712970955,0.0808072421917393,0.09050647888492962,3.2225738099427415,0.06551530586227879,0.0014237699886200477,0.0627939532574564,0.06758425586648037,2.1731868147162237,0.0072557932237365,0.00047060079296765714,0.0065298103906344124,0.00819142272014821
flow,LightGBM,0.8868654086058603,0.0064953104980754245,0.8741497090979462,0.8984041706115337,0.7323896540610327,0.08623473071556678,0.0027503428532615394,0.08101388944657291,0.09052910031645212,3.1893679384622433,0.06671930562271086,0.001629781833352736,0.06393386887372414,0.07000769432220481,2.4427439976203345,0.00744361494810628,0.0004749758731587128,0.006563250283261538,0.00819551800410625
lv,Linear Regression,0.19247765639404874,0.01429224466636079,0.164394278385531,0.2143128523789818,7.425404555581807,0.9953323195907142,0.034800609748329527,0.905121638213132,1.0489249388324724,3.4963809637608994,0.7023251295702951,0.012806062399415372,0.6714917977827012,0.7271596990581436,1.823380918642414,0.9918369547387439,0.06848712940261417,0.8192451799616238,1.1002435273047058
lv,Ridge Regression,0.19249249156142056,0.01428362166763708,0.1644419083557912,0.21433884343843035,7.420352633899727,0.9953233277323911,0.03480215437336312,0.9051066670729411,1.0489071515178177,3.4965677387117617,0.7023365896501235,0.012801632275929469,0.6715178522348318,0.7271742720639334,1.8227203971114108,0.9918191571798569,0.06848933457807643,0.8192180787798878,1.1002062125052219
lv,Lasso Regression,0.11598882062605138,0.004880903885092853,0.10749506382024421,0.1243760716937723,4.20808131227484,1.0413384112854138,0.032113114530584144,0.9557518443850503,1.0865590255723243,3.083830787624952,0.7730590332528845,0.010204487174420676,0.7546025109045993,0.793627045038102,1.3200139621268179,1.085365376337041,0.0660521478974473,0.9134615880454254,1.1806105160526787
