Split,Random_Seed,Output,Model,MSE,RMSE,MAE,R2
13,954699,lv,Extra Trees,8.165875871152496e-31,9.036523596578773e-16,5.746224301636891e-17,1.0
13,954699,lv,Gradient Boosting,0.2959251821264438,0.5439900570106441,0.39144854273413915,0.7768220125174923
13,954699,lv,AdaBoost,0.9616016873478223,0.9806129141245399,0.8555549665924792,0.27478855364741483
13,954699,lv,Hist Gradient Boosting,0.08909655352216558,0.2984904580085695,0.21130634162513398,0.9328060242666061
13,954699,lv,KNN,0.1529109982880123,0.3910383591005009,0.2388568296205289,0.8846790644289335
13,954699,lv,SVR,0.6348018557093206,0.7967445360398279,0.45252540126012897,0.5212512852426578
13,954699,lv,Bagging,0.02992578094839076,0.17299069613245321,0.10677555751216178,0.9774308643897345
13,954699,lv,MLP Neural Network,0.17217814770641549,0.41494354761390795,0.2904735594793949,0.8701483523049255
13,954699,lv,XGBoost,0.016260336051651714,0.12751602272519214,0.09158830062181793,0.9877369372565046
13,954699,lv,LightGBM,0.08965113874075616,0.2994180000279812,0.21294604827145036,0.9323877725582411
14,87499,tmp,Linear Regression,0.0039048308761504644,0.06248864597789317,0.044086839249153645,0.5120896074258502
14,87499,tmp,Ridge Regression,0.003904831435922304,0.0624886504568814,0.044087144924743034,0.5120895374821044
14,87499,tmp,Lasso Regression,0.004487781045569205,0.06699090270752593,0.04847368355379645,0.439249718827995
14,87499,tmp,ElasticNet,0.004144171667427844,0.06437524110578417,0.046044019845627664,0.48218386678433045
14,87499,tmp,Decision Tree,0.00011043339242571832,0.010508729344012925,0.005627447065399176,0.9862012974285724
14,87499,tmp,Random Forest,2.1900154868018356e-05,0.004679760129324831,0.0021968899785069986,0.9972635656964423
14,87499,tmp,Extra Trees,1.4376602774910778e-32,1.1990247192994304e-16,8.020627535209966e-17,1.0
14,87499,tmp,Gradient Boosting,0.0004066500790311501,0.020165566667742073,0.012600096167745645,0.9491888878178517
14,87499,tmp,AdaBoost,0.002127571522164459,0.04612560592734213,0.0415952255743612,0.7341589714041067
14,87499,tmp,Hist Gradient Boosting,6.371913178889916e-05,0.007982426434919344,0.0048587293431788595,0.992038265525022
14,87499,tmp,KNN,0.0001733053916578148,0.013164550568014648,0.00582081679346812,0.9783454125515568
14,87499,tmp,SVR,0.0008192930090223663,0.028623294866635573,0.01487696127420536,0.8976289661847173
14,87499,tmp,Bagging,2.2237473580015807e-05,0.004715662581230321,0.0022082490833654745,0.9972214175700795
14,87499,tmp,MLP Neural Network,0.00025033510800451676,0.015821981797629423,0.00830797272373451,0.96872051448692
14,87499,tmp,XGBoost,6.5720978383445376e-06,0.0025636103132778464,0.0017959816888105877,0.9991788133883269
14,87499,tmp,LightGBM,5.8244390647546246e-05,0.007631801271491957,0.004714801164141437,0.9927223369186985
14,87499,flow,Linear Regression,0.03373759773363293,0.18367797291355578,0.14408648540778482,0.47312372910641753
14,87499,flow,Ridge Regression,0.0337376073020035,0.18367799896014628,0.14408000875776353,0.47312357967825003
14,87499,flow,Lasso Regression,0.03855031031067627,0.19634232939098045,0.15456817215917973,0.39796413785468476
14,87499,flow,ElasticNet,0.03605687193996542,0.1898864711873003,0.14779416582893634,0.43690388456799156
14,87499,flow,Decision Tree,0.008366088675823032,0.09146632536525687,0.06379558317714798,0.8693477336980502
14,87499,flow,Random Forest,0.0009130136766700056,0.03021611617448552,0.023129039782908242,0.9857415680560095
14,87499,flow,Extra Trees,1.2627295283028404e-31,3.553490577309641e-16,2.3261157990280105e-16,1.0
14,87499,flow,Gradient Boosting,0.009796329727545811,0.09897640995482616,0.07795495594067496,0.847011819986583
14,87499,flow,AdaBoost,0.0184144658432371,0.13569991099200138,0.11041776048723162,0.7124233571523687
14,87499,flow,Hist Gradient Boosting,0.0034054102195228476,0.05835589275748292,0.04593657333929658,0.9468180914512349
14,87499,flow,KNN,0.00443668984208856,0.06660848175787044,0.05055470740584759,0.9307127135261108
14,87499,flow,SVR,0.014180256468570754,0.11908088204481336,0.0887048211095429,0.7785485289301705
14,87499,flow,Bagging,0.0009229571614888398,0.03038021003036088,0.02315896542675583,0.9855862817714792
14,87499,flow,MLP Neural Network,0.007601921305212918,0.08718899761559894,0.06774082597710873,0.8812816496141866
14,87499,flow,XGBoost,0.0007659011016378351,0.027674918276985663,0.020672420922876033,0.9880390086013164
14,87499,flow,LightGBM,0.0033706996593815468,0.05805772695672426,0.04572998027959217,0.9473601623666648
14,87499,lv,Linear Regression,0.9972505603708135,0.9986243339568757,0.7033944976073542,0.1962745070580998
14,87499,lv,Ridge Regression,0.9972508520042681,0.9986244799744637,0.7034154680995784,0.1962742720186309
14,87499,lv,Lasso Regression,1.0947887981451327,1.0463215558064034,0.7752236857076398,0.11766440509265264
14,87499,lv,ElasticNet,1.0412111949778204,1.0203975671167687,0.7401469011056597,0.16084481253236538
14,87499,lv,Decision Tree,0.11188804304545899,0.33449670109802127,0.20753558619540344,0.9098247961700038
14,87499,lv,Random Forest,0.026040032154748576,0.16136924166255656,0.1019649731395646,0.9790132605470625
14,87499,lv,Extra Trees,1.1934741657838262e-30,1.092462432207088e-15,8.398327825469302e-17,1.0
14,87499,lv,Gradient Boosting,0.28947378111699734,0.538027676906121,0.3857144048190606,0.7667011013405658
14,87499,lv,AdaBoost,0.8129541410677317,0.9016396958140939,0.7769756778231368,0.34480661758077413
14,87499,lv,Hist Gradient Boosting,0.0792745440507445,0.2815573548155766,0.20295338079237132,0.9361093645600586
14,87499,lv,KNN,0.14889078885382054,0.3858636920647245,0.23631536960062213,0.8800027521453098
14,87499,lv,SVR,0.5850362914453696,0.7648766511309975,0.43762225126324067,0.5284950438573928
14,87499,lv,Bagging,0.02606145951556858,0.16143562034312187,0.10186290936839823,0.978995991350311
14,87499,lv,MLP Neural Network,0.15963502689772166,0.3995435231582683,0.28007449322718325,0.871343526107965
14,87499,lv,XGBoost,0.014354142152985366,0.11980877327218306,0.08702101188782033,0.9884314028629109
14,87499,lv,LightGBM,0.07989880804410189,0.2826637720757683,0.20199394433059717,0.9356062443756983
15,899160,tmp,Linear Regression,0.003960157266389029,0.06292978044129051,0.044652345101494725,0.5162572212479581
15,899160,tmp,Ridge Regression,0.003960157906555105,0.06292978552764267,0.044652517993450706,0.516257143050125
15,899160,tmp,Lasso Regression,0.004588503257036911,0.06773849169443405,0.04944097942866172,0.4395032402600092
15,899160,tmp,ElasticNet,0.004214098796715416,0.06491609042999598,0.0468089596135645,0.48523764973668737
15,899160,tmp,Decision Tree,8.547657326025882e-05,0.009245354144664163,0.0051200241749308,0.9895588300449434
15,899160,tmp,Random Forest,2.731606574860175e-05,0.005226477374733555,0.0023314259532192833,0.9966632765668292
15,899160,tmp,Extra Trees,1.4721473029649109e-32,1.2133207749663362e-16,8.090124388617685e-17,1.0
15,899160,tmp,Gradient Boosting,0.0004265583192861496,0.02065328834074975,0.01308480648295103,0.9478948706349147
15,899160,tmp,AdaBoost,0.001858003546554017,0.04310456526348476,0.037515153581054464,0.773040377418967
15,899160,tmp,Hist Gradient Boosting,6.201446660004302e-05,0.007874926450452919,0.004931441254894431,0.9924247830634049
15,899160,tmp,KNN,0.00016613570369036857,0.012889363975401136,0.005853523587744946,0.9797061223716539
15,899160,tmp,SVR,0.0008765985859307905,0.029607407619222433,0.015264827375134878,0.892921364662134
15,899160,tmp,Bagging,2.7285690451774158e-05,0.005223570661125793,0.002341789395561429,0.9966669869827305
15,899160,tmp,MLP Neural Network,0.0003640651087480974,0.019080490264877823,0.010181017688696621,0.9555285673002946
15,899160,tmp,XGBoost,6.9091769346855514e-06,0.002628531326555868,0.0018355100402755256,0.9991560273432469
15,899160,tmp,LightGBM,5.899622381583184e-05,0.007680899935283094,0.0047554676483411475,0.992793468712274
15,899160,flow,Linear Regression,0.03560246731846501,0.18868616090870313,0.1481991282087638,0.4620988480945937
15,899160,flow,Ridge Regression,0.03560247701517904,0.18868618660405176,0.14819219788228347,0.4620987015914426
15,899160,flow,Lasso Regression,0.040695148477253085,0.2017303856072582,0.15819934743213176,0.3851558925096499
15,899160,flow,ElasticNet,0.03796694615119781,0.19485108711833715,0.1513054383407487,0.42637503501146823
15,899160,flow,Decision Tree,0.008084439483373555,0.08991351112804769,0.061357567971107536,0.8778559566752051
15,899160,flow,Random Forest,0.000993764071539673,0.03152402372064316,0.023528262508295497,0.9849856799524072
15,899160,flow,Extra Trees,1.362602324672433e-31,3.691344368482075e-16,2.464591516873948e-16,1.0
15,899160,flow,Gradient Boosting,0.009838890796107816,0.09919118305629697,0.07817482723569523,0.8513487662144964
15,899160,flow,AdaBoost,0.021208873312951317,0.14563266567961777,0.1178902470248218,0.6795649783593647
15,899160,flow,Hist Gradient Boosting,0.0035573349100900564,0.05964339787512157,0.046605551648065,0.946253878172698
15,899160,flow,KNN,0.004671549356138249,0.06834873339088479,0.051533805146251936,0.9294197293302069
15,899160,flow,SVR,0.014771918741930299,0.12153978254847381,0.09012816720806367,0.7768179369125827
15,899160,flow,Bagging,0.0009859238898315883,0.03139942499205341,0.023493287273604984,0.9851041336183906
15,899160,flow,MLP Neural Network,0.006604333837186985,0.08126705259320646,0.06324429690757613,0.9002181858124125
15,899160,flow,XGBoost,0.0008284095071673843,0.0287821039392082,0.021354360219427652,0.9874839453072507
15,899160,flow,LightGBM,0.0035246052823090916,0.05936838621951157,0.04637856451165038,0.9467483749256151
15,899160,lv,Linear Regression,1.0218997313427842,1.010890563484883,0.6999139037394185,0.191975351997
15,899160,lv,Ridge Regression,1.0219000189702967,1.0108907057492895,0.6999377512991123,0.19197512456752497
15,899160,lv,Lasso Regression,1.1240946459888235,1.0602332979060898,0.7800284252564069,0.11116897990210084
15,899160,lv,ElasticNet,1.0673615103424183,1.0331318939721192,0.7414088257164736,0.15602834384435038
15,899160,lv,Decision Tree,0.13099740913493438,0.36193564225554575,0.2271168237372584,0.896419255080463
15,899160,lv,Random Forest,0.027859065863279887,0.16691035277441565,0.1045811055857854,0.9779716040650195
15,899160,lv,Extra Trees,1.0050308764495378e-30,1.0025122824432316e-15,7.072276063553096e-17,1.0
15,899160,lv,Gradient Boosting,0.2833613114259079,0.5323169276154084,0.38340051024495714,0.775943845663088
15,899160,lv,AdaBoost,0.8894870553862755,0.9431262139216975,0.8147305674558284,0.296675160206465
15,899160,lv,Hist Gradient Boosting,0.08461382794911432,0.29088456120790307,0.20840936683116618,0.9330951399165839
15,899160,lv,KNN,0.15277847832743408,0.3908688761303899,0.23718235307744923,0.8791967818498727
15,899160,lv,SVR,0.5874995473487283,0.7664851905606059,0.4348723812960128,0.5354592036886046
15,899160,lv,Bagging,0.02753949829134346,0.16595028861482422,0.10384015011906682,0.9782242888117781
15,899160,lv,MLP Neural Network,0.18820790457061765,0.433829349595688,0.3027064882945432,0.8511824387680134
15,899160,lv,XGBoost,0.016893932352117332,0.12997666079768833,0.09372358120929865,0.9866418266650594
15,899160,lv,LightGBM,0.0817491555674839,0.2859180924101934,0.20235418240926503,0.9353602602819344
16,912757,tmp,Linear Regression,0.003969630041245627,0.06300500012892331,0.04428043076244985,0.504583099303833
16,912757,tmp,Ridge Regression,0.003969630534210928,0.06300500404103572,0.04428068024042007,0.5045830377808853
16,912757,tmp,Lasso Regression,0.0045416418657360435,0.06739170472495887,0.04872710983460779,0.433195004618395
16,912757,tmp,ElasticNet,0.0041979242484692595,0.06479139023411412,0.046176012287371095,0.47609157555616144
16,912757,tmp,Decision Tree,0.00013095527561262466,0.011443569181537055,0.006088538105935878,0.9836565483181751
16,912757,tmp,Random Forest,2.7310953461309523e-05,0.005225988276040191,0.0023276442587122836,0.9965915443559538
16,912757,tmp,Extra Trees,1.4344029698479657e-32,1.1976656335755676e-16,7.950914853064957e-17,1.0
16,912757,tmp,Gradient Boosting,0.0004042696814642289,0.020106458700234333,0.012637186854613368,0.9495464235821863
16,912757,tmp,AdaBoost,0.0019859770682368817,0.0445643026225799,0.03965110689108993,0.7521465240395946
16,912757,tmp,Hist Gradient Boosting,6.631034614604182e-05,0.008143116488546742,0.005016577171705684,0.9917243506748922
